"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","CA","B",21188,,142,,,,15198,0,,3193,26227696,260701,,,,,,1617370,1617370,32326,0,,,,,,,,0,27845066,293027,,,,,,0,27845066,293027
"2020-12-14","CA","B",21046,,77,,,,14578,0,,3078,25966995,323174,,,,,,1585044,1585044,33278,0,,,,,,,,0,27552039,356452,,,,,,0,27552039,356452
"2020-12-13","CA","B",20969,,122,,,,13960,0,,2937,25643821,279123,,,,,,1551766,1551766,30334,0,,,,,,,,0,27195587,309457,,,,,,0,27195587,309457
"2020-12-12","CA","B",20847,,225,,,,13410,0,,2866,25364698,278058,,,,,,1521432,1521432,35729,0,,,,,,,,0,26886130,313787,,,,,,0,26886130,313787
"2020-12-11","CA","B",20622,,159,,,,12940,0,,2773,25086640,212543,,,,,,1485703,1485703,35468,0,,,,,,,,0,26572343,248011,,,,,,0,26572343,248011
"2020-12-10","CA","B",20463,,220,,,,12477,0,,2710,24874097,252584,,,,,,1450235,1450235,29677,0,,,,,,,,0,26324332,282261,,,,,,0,26324332,282261
"2020-12-09","CA","B",20243,,196,,,,11965,0,,2627,24621513,221445,,,,,,1420558,1420558,30851,0,,,,,,,,0,26042071,252296,,,,,,0,26042071,252296
"2020-12-08","CA","B",20047,,112,,,,11511,0,,2526,24400068,273152,,,,,,1389707,1389707,23272,0,,,,,,,,0,25789775,296424,,,,,,0,25789775,296424
"2020-12-07","CA","B",19935,,59,,,,10998,0,,2470,24126916,273570,,,,,,1366435,1366435,24735,0,,,,,,,,0,25493351,298305,,,,,,0,25493351,298305
"2020-12-06","CA","B",19876,,85,,,,10624,0,,2393,23853346,262996,,,,,,1341700,1341700,30075,0,,,,,,,,0,25195046,293071,,,,,,0,25195046,293071
"2020-12-05","CA","B",19791,,209,,,,10273,0,,2265,23590350,201429,,,,,,1311625,1311625,25068,0,,,,,,,,0,24901975,226497,,,,,,0,24901975,226497
"2020-12-04","CA","B",19582,,145,,,,9948,0,,2248,23388921,178818,,,,,,1286557,1286557,22018,0,,,,,,,,0,24675478,200836,,,,,,0,24675478,200836
"2020-12-03","CA","B",19437,,113,,,,9702,0,,2147,23210103,156925,,,,,,1264539,1264539,18591,0,,,,,,,,0,24474642,175516,,,,,,0,24474642,175516
"2020-12-02","CA","B",19324,,113,,,,9365,0,,2121,23053178,117054,,,,,,1245948,1245948,20759,0,,,,,,,,0,24299126,137813,,,,,,0,24299126,137813
"2020-12-01","CA","B",19211,,70,,,,9049,0,,2000,22936124,123921,,,,,,1225189,1225189,12221,0,,,,,,,,0,24161313,136142,,,,,,0,24161313,136142
"2020-11-30","CA","B",19141,,20,,,,8578,0,,1919,22812203,203636,,,,,,1212968,1212968,14034,0,,,,,,,,0,24025171,217670,,,,,,0,24025171,217670
"2020-11-29","CA","B",19121,,32,,,,8198,0,,1823,22608567,218705,,,,,,1198934,1198934,15614,0,,,,,,,,0,23807501,234319,,,,,,0,23807501,234319
"2020-11-28","CA","B",19089,,56,,,,7684,0,,1763,22389862,245268,,,,,,1183320,1183320,11996,0,,,,,,,,0,23573182,257264,,,,,,0,23573182,257264
"2020-11-27","CA","B",19033,,54,,,,7388,0,,1726,22144594,206538,,,,,,1171324,1171324,12635,0,,,,,,,,0,23315918,219173,,,,,,0,23315918,219173
"2020-11-26","CA","B",18979,,104,,,,7197,0,,1617,21938056,171754,,,,,,1158689,1158689,14640,0,,,,,,,,0,23096745,186394,,,,,,0,23096745,186394
"2020-11-25","CA","B",18875,,106,,,,7049,0,,1551,21766302,150638,,,,,,1144049,1144049,18350,0,,,,,,,,0,22910351,168988,,,,,,0,22910351,168988
"2020-11-24","CA","B",18769,,43,,,,6641,0,,1514,21615664,268490,,,,,,1125699,1125699,15329,0,,,,,,,,0,22741363,283819,,,,,,0,22741363,283819
"2020-11-23","CA","B",18726,,50,,,,6254,0,,1455,21347174,211898,,,,,,1110370,1110370,8337,0,,,,,,,,0,22457544,220235,,,,,,0,22457544,220235
"2020-11-22","CA","B",18676,,33,,,,5918,0,,1390,21135276,251158,,,,,,1102033,1102033,14319,0,,,,,,,,0,22237309,265477,,,,,,0,22237309,265477
"2020-11-21","CA","B",18643,,86,,,,5745,0,,1332,20884118,225839,,,,,,1087714,1087714,15442,0,,,,,,,,0,21971832,241281,,,,,,0,21971832,241281
