"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","FL","A",20365,,94,,59385,59385,5103,352,,,6837002,34435,578113,560932,10965359,,,1124742,997924,9296,0,71851,,69600,,1461780,,14022177,85977,14022177,85977,650372,,630838,,7961744,43731,12483418,82685
"2020-12-14","FL","A",20271,,138,,59033,59033,4932,142,,,6802567,32182,578113,560932,10895327,,,1115446,991735,8343,0,71851,,69600,,1449377,,13936200,90729,13936200,90729,650372,,630838,,7918013,40525,12400733,84951
"2020-12-13","FL","A",20133,,84,,58891,58891,4687,141,,,6770385,29589,578113,560932,10821719,,,1107103,985938,8762,0,71851,,69600,,1438282,,13845471,103473,13845471,103473,650372,,630838,,7877488,38351,12315782,93218
"2020-12-12","FL","A",20049,,72,,58750,58750,4509,259,,,6740796,41840,578113,560932,10741096,,,1098341,979732,10385,0,71851,,69600,,1426016,,13741998,120432,13741998,120432,650372,,630838,,7839137,52225,12222564,101779
"2020-12-11","FL","A",19977,,126,,58491,58491,4624,265,,,6698956,43768,578113,560932,10653469,,,1087956,972410,11409,0,71851,,69600,,1412194,,13621566,131102,13621566,131102,650372,,630838,,7786912,55177,12120785,114094
"2020-12-10","FL","A",19851,,135,,58226,58226,4553,269,,,6655188,48767,578113,560932,10554421,,,1076547,964381,11071,0,71851,,69600,,1397473,,13490464,127033,13490464,127033,650372,,630838,,7731735,59838,12006691,109505
"2020-12-09","FL","A",19716,,89,,57957,57957,4559,310,,,6606421,38060,578113,560932,10460024,,,1065476,957017,9411,0,71851,,69600,,1382676,,13363431,97815,13363431,97815,650372,,630838,,7671897,47471,11897186,82934
"2020-12-08","FL","A",19627,,98,,57647,57647,4558,307,,,6568361,32172,578113,560932,10388564,,,1056065,950334,7801,0,71851,,69600,,1371389,,13265616,89756,13265616,89756,650372,,630838,,7624426,39973,11814252,84418
"2020-12-07","FL","A",19529,,106,,57340,57340,4495,155,,,6536189,30952,578113,560932,10314978,,,1048264,945449,7537,0,71851,,69600,,1360895,,13175860,92339,13175860,92339,650372,,630838,,7584453,38489,11729834,86753
"2020-12-06","FL","A",19423,,96,,57185,57185,4400,145,,,6505237,41197,578113,560932,10238741,,,1040727,939763,8175,0,71851,,69600,,1350646,,13083521,96582,13083521,96582,650372,,630838,,7545964,49372,11643081,86153
"2020-12-05","FL","A",19327,,91,,57040,57040,4339,231,,,6464040,42210,578113,560932,10163645,,,1032552,933525,10198,0,71851,,69600,,1339838,,12986939,129842,12986939,129842,650372,,630838,,7496592,52408,11556928,108006
"2020-12-04","FL","A",19236,,124,,56809,56809,4334,282,,,6421830,45549,578113,560932,10069429,,,1022354,925841,9898,0,71851,,69600,,1326319,,12857097,121877,12857097,121877,650372,,630838,,7444184,55447,11448922,106388
