"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","IL","A",15587,14509,132,1078,,,4965,0,,1057,11098533,85563,,,,,598,863477,447491,7359,0,,,,,,,,0,11962010,92922,,,,,,0,11962010,92922
"2020-12-14","IL","A",15455,14394,116,1061,,,4951,0,,1070,11012970,85042,,,,,621,856118,447491,7214,0,,,,,,,,0,11869088,92256,,,,,,0,11869088,92256
"2020-12-13","IL","A",15339,14291,107,1048,,,5073,0,,1080,10927928,56432,,,,,612,848904,447491,7216,0,,,,,,,,0,11776832,63648,,,,,,0,11776832,63648
"2020-12-12","IL","A",15232,14176,165,1056,,,5048,0,,1072,10871496,118151,,,,,627,841688,447491,8737,0,,,,,,,,0,11713184,126888,,,,,,0,11713184,126888
"2020-12-11","IL","A",15067,14050,222,1017,,,5141,0,,1081,10753345,95028,,,,,635,832951,447491,9420,0,,,,,,,,0,11586296,104448,,,,,,0,11586296,104448
"2020-12-10","IL","A",14845,13861,232,984,,,5138,0,,1081,10658317,103402,,,,,606,823531,447491,11101,0,,,,,,,,0,11481848,114503,,,,,,0,11481848,114503
"2020-12-09","IL","A",14613,13666,229,947,,,5284,0,,1176,10554915,84481,,,,,647,812430,447491,8256,0,,,,,,,,0,11367345,92737,,,,,,0,11367345,92737
"2020-12-08","IL","A",14384,13487,168,897,,,5199,0,,1071,10470434,87915,,,,,626,804174,447491,7910,0,,,,,,,,0,11274608,95825,,,,,,0,11274608,95825
"2020-12-07","IL","A",14216,13343,100,873,,,5190,0,,1123,10382519,68878,,,,,648,796264,447491,8691,0,,,,,,,,0,11178783,77569,,,,,,0,11178783,77569
"2020-12-06","IL","A",14116,13255,99,861,,,5160,0,,1103,10313641,71940,,,,,643,787573,447491,7598,0,,,,,,,,0,11101214,79538,,,,,,0,11101214,79538
"2020-12-05","IL","A",14017,13179,235,838,,,5331,0,,1134,10241701,92791,,,,,694,779975,447491,9887,0,,,,,,,,0,11021676,102678,,,,,,0,11021676,102678
"2020-12-04","IL","A",13782,12974,157,808,,,5453,0,,1153,10148910,102108,,,,,703,770088,447491,10526,0,,,,,,,,0,10918998,112634,,,,,,0,10918998,112634
"2020-12-03","IL","A",13625,12830,228,795,,,5653,0,,1170,10046802,95819,,,,,693,759562,447491,10959,0,,,,,,,,0,10806364,106778,,,,,,0,10806364,106778
"2020-12-02","IL","A",13397,12639,266,758,,,5764,0,,1190,9950983,75750,,,,,714,748603,447491,9757,0,,,,,,,,0,10699586,85507,,,,,,0,10699586,85507
"2020-12-01","IL","A",13131,12403,146,728,,,5835,0,,1195,9875233,103539,,,,,721,738846,447491,12542,0,,,,,,,,0,10614079,116081,,,,,,0,10614079,116081
"2020-11-30","IL","A",12985,12278,103,707,,,5849,0,,1217,9771694,60790,,,,,715,726304,447491,6190,0,,,,,,,,0,10497998,66980,,,,,,0,10497998,66980
"2020-11-29","IL","A",12882,12193,44,689,,,5858,0,,1185,9710904,55562,,,,,723,720114,447491,7178,0,,,,,,,,0,10431018,62740,,,,,,0,10431018,62740
"2020-11-28","IL","A",12838,12137,152,701,,,5775,0,,1211,9655342,71182,,,,,686,712936,447491,7873,0,,,,,,,,0,10368278,79055,,,,,,0,10368278,79055
"2020-11-27","IL","A",12686,12029,90,657,,,5829,0,,1215,9584160,69556,,,,,698,705063,447491,7574,0,,,,,,,,0,10289223,77130,,,,,,0,10289223,77130
"2020-11-26","IL","A",12596,11963,156,633,,,6032,0,,1224,9514604,95534,,,,,724,697489,447491,12022,0,,,,,,,,0,10212093,107556,,,,,,0,10212093,107556
