"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-15","TX","A",24142,,205,,,,9472,0,,2725,10930723,103876,,,,,,1500538,1352489,18926,0,69839,76600,,,1476519,1203398,,0,12283212,119269,621818,922161,,,,0,12283212,119269
"2020-12-14","TX","A",23937,,26,,,,9304,0,,2679,10826847,126048,,,,,,1481612,1337096,8901,0,69478,74573,,,1459163,1185628,,0,12163943,134931,619088,906429,,,,0,12163943,134931
"2020-12-13","TX","A",23911,,111,,,,9230,0,,2644,10700799,76054,,,,,,1472711,1328213,8349,0,68353,73141,,,1440979,1176377,,0,12029012,82689,613854,888741,,,,0,12029012,82689
"2020-12-12","TX","A",23800,,249,,,,9192,0,,2642,10624745,-13375,,,,,,1464362,1321578,16360,0,67899,71381,,,1430692,1167975,,0,11946323,325,611326,863974,,,,0,11946323,325
"2020-12-11","TX","A",23551,,226,,,,9109,0,,2604,10638120,-5063,,,,,,1448002,1307878,14451,0,66200,71365,,,1430675,1157334,,0,11945998,6683,606668,863863,,,,0,11945998,6683
"2020-12-10","TX","A",23325,,244,,,,9045,0,,2644,10643183,23550,,,,,,1433551,1296132,15299,0,66200,71236,,,1430071,1074579,,0,11939315,36008,601686,862971,,,,0,11939315,36008
"2020-12-09","TX","A",23081,,273,,,,9053,0,,2647,10619633,70227,,,,,,1418252,1283674,13606,0,65542,70766,,,1426497,1062398,,0,11903307,81405,598405,857323,,,,0,11903307,81405
"2020-12-08","TX","A",22808,,181,,,,9028,0,,2646,10549406,103011,,,,,,1404646,1272496,19842,0,65063,69554,,,1416631,1050416,,0,11821902,117293,595246,843177,,,,0,11821902,117293
"2020-12-07","TX","A",22627,,33,,,,8790,0,,2631,10446395,30919,,,,,,1384804,1258214,9491,0,64835,67828,,,1401774,1038806,,0,11704609,39810,593787,818716,,,,0,11704609,39810
"2020-12-06","TX","A",22594,,92,,,,8681,0,,2592,10415476,49213,,,,,,1375313,1249323,10380,0,64340,67018,,,1395225,1030716,,0,11664799,57786,590964,813338,,,,0,11664799,57786
"2020-12-05","TX","A",22502,,247,,,,8916,0,,2663,10366263,97520,,,,,,1364933,1240750,14391,0,63669,66269,,,1386252,1022297,,0,11607013,109458,587512,807829,,,,0,11607013,109458
"2020-12-04","TX","A",22255,,255,,,,9015,0,,2645,10268743,99949,,,,,,1350542,1228812,16796,0,62869,65042,,,1372627,1012700,,0,11497555,113648,583553,791698,,,,0,11497555,113648
"2020-12-03","TX","A",22000,,244,,,,9151,0,,2623,10168794,101937,,,,,,1333746,1215113,17552,0,62140,63709,,,1358324,1003141,,0,11383907,116376,578670,771879,,,,0,11383907,116376
"2020-12-02","TX","A",21756,,207,,,,9109,0,,2544,10066857,105199,,,,,,1316194,1200674,19222,0,61488,62388,,,1343301,993151,,0,11267531,121623,575536,756314,,,,0,11267531,121623
"2020-12-01","TX","A",21549,,170,,,,9047,0,,2583,9961658,118895,,,,,,1296972,1184250,18540,0,61129,60962,,,1327560,976517,,0,11145908,135034,573566,738089,,,,0,11145908,135034
"2020-11-30","TX","A",21379,,22,,,,8900,0,,2536,9842763,34166,,,,,,1278432,1168111,11725,0,60825,59228,,,1309102,962639,,0,11010874,45004,571451,712553,,,,0,11010874,45004
"2020-11-29","TX","A",21357,,48,,,,8634,0,,2487,9808597,47028,,,,,,1266707,1157273,7050,0,60759,58415,,,1301267,954465,,0,10965870,53232,570888,706818,,,,0,10965870,53232
"2020-11-28","TX","A",21309,,102,,,,8597,0,,2427,9761569,67725,,,,,,1259657,1151069,4325,0,60487,57538,,,1291811,950586,,0,10912638,71749,569242,701538,,,,0,10912638,71749
"2020-11-27","TX","A",21207,,51,,,,8518,0,,2449,9693844,9213,,,,,,1255332,1147045,3987,0,59679,56447,,,1280439,946663,,0,10840889,12642,563123,689889,,,,0,10840889,12642
"2020-11-26","TX","A",21156,,206,,,,8706,0,,2444,9684631,102065,,,,,,1251345,1143616,14697,0,59031,56160,,,1278643,943457,,0,10828247,114701,560010,687314,,,,0,10828247,114701
"2020-11-25","TX","A",20950,,200,,,,8585,0,,2356,9582566,115125,,,,,,1236648,1130980,18811,0,58350,54860,,,1264769,935011,,0,10713546,130734,556284,670565,,,,0,10713546,130734
"2020-11-24","TX","A",20750,,162,,,,8495,0,,2331,9467441,133315,,,,,,1217837,1115371,16580,0,57944,53643,,,1250838,927331,,0,10582812,147707,553956,654298,,,,0,10582812,147707
"2020-11-23","TX","A",20588,,32,,,,8353,0,,2299,9334126,48470,,,,,,1201257,1100979,7641,0,57713,52412,,,1235153,917739,,0,10435105,55174,552103,634477,,,,0,10435105,55174
"2020-11-22","TX","A",20556,,89,,,,8174,0,,2215,9285656,66792,,,,,,1193616,1094275,9769,0,57040,51881,,,1228284,913796,,0,10379931,75543,548439,630204,,,,0,10379931,75543
"2020-11-21","TX","A",20467,,171,,,,8245,0,,2195,9218864,108487,,,,,,1183847,1085524,14922,0,56537,51349,,,1219414,909137,,0,10304388,121313,545643,625778,,,,0,10304388,121313
"2020-11-20","TX","A",20296,,183,,,,8164,0,,2214,9110377,107065,,,,,,1168925,1072698,13795,0,55555,50463,,,1206044,901943,,0,10183075,119077,539765,613980,,,,0,10183075,119077
