Serial No.,GRE Score,Chance of Admit
1,337,0.92
2,324,0.76
3,316,0.72
4,322,0.8
5,314,0.65
6,330,0.9
7,321,0.75
8,308,0.68
9,302,0.5
10,323,0.45
11,325,0.52
12,327,0.84
13,328,0.78
14,307,0.62
15,311,0.61
16,314,0.54
17,317,0.66
18,319,0.65
19,318,0.63
20,303,0.62
21,312,0.64
22,325,0.7
23,328,0.94
24,334,0.95
25,336,0.97
26,340,0.94
27,322,0.76
28,298,0.44
29,295,0.46
30,310,0.54
31,300,0.65
32,327,0.74
33,338,0.91
34,340,0.9
35,331,0.94
36,320,0.88
37,299,0.64
38,300,0.58
39,304,0.52
40,307,0.48
41,308,0.46
42,316,0.49
43,313,0.53
44,332,0.87
45,326,0.91
46,322,0.88
47,329,0.86
48,339,0.89
49,321,0.82
50,327,0.78
51,313,0.76
52,312,0.56
53,334,0.78
54,324,0.72
55,322,0.7
56,320,0.64
57,316,0.64
58,298,0.46
59,300,0.36
60,311,0.42
61,309,0.48
62,307,0.47
63,304,0.54
64,315,0.56
65,325,0.52
66,325,0.55
67,327,0.61
68,316,0.57
69,318,0.68
70,328,0.78
71,332,0.94
72,336,0.96
73,321,0.93
74,314,0.84
75,314,0.74
76,329,0.72
77,327,0.74
78,301,0.64
79,296,0.44
80,294,0.46
81,312,0.5
82,340,0.96
83,320,0.92
84,322,0.92
85,340,0.94
86,319,0.76
87,315,0.72
88,317,0.66
89,314,0.64
90,316,0.74
91,318,0.64
92,299,0.38
93,298,0.34
94,301,0.44
95,303,0.36
96,304,0.42
97,306,0.48
98,331,0.86
99,332,0.9
100,323,0.79
101,322,0.71
102,312,0.64
103,314,0.62
104,317,0.57
105,326,0.74
106,316,0.69
107,329,0.87
108,338,0.91
109,331,0.93
110,304,0.68
111,305,0.61
112,321,0.69
113,301,0.62
114,320,0.72
115,311,0.59
116,310,0.66
117,299,0.56
118,290,0.45
119,296,0.47
120,327,0.71
121,335,0.94
122,334,0.94
123,310,0.57
124,308,0.61
125,301,0.57
126,300,0.64
127,323,0.85
128,319,0.78
129,326,0.84
130,333,0.92
131,339,0.96
132,303,0.77
133,309,0.71
134,323,0.79
135,333,0.89
136,314,0.82
137,312,0.76
138,316,0.71
139,326,0.8
140,318,0.78
141,329,0.84
142,332,0.9
143,331,0.92
144,340,0.97
145,325,0.8
146,320,0.81
147,315,0.75
148,326,0.83
149,339,0.96
150,311,0.79
151,334,0.93
152,332,0.94
153,321,0.86
154,324,0.79
155,326,0.8
156,312,0.77
157,315,0.7
158,309,0.65
159,306,0.61
160,297,0.52
161,315,0.57
162,298,0.53
163,318,0.67
164,317,0.68
165,329,0.81
166,322,0.78
167,302,0.65
168,313,0.64
169,293,0.64
170,311,0.65
171,312,0.68
172,334,0.89
173,322,0.86
174,323,0.89
175,321,0.87
176,320,0.85
177,329,0.9
178,319,0.82
179,309,0.72
180,307,0.73
181,300,0.71
182,305,0.71
183,299,0.68
184,314,0.75
185,316,0.72
186,327,0.89
187,317,0.84
188,335,0.93
189,331,0.93
190,324,0.88
191,324,0.9
192,323,0.87
193,322,0.86
194,336,0.94
195,316,0.77
196,307,0.78
197,306,0.73
198,310,0.73
199,311,0.7
