team,year,week,yards_per_pass_attempt,winning_margin,total_rushing,passes_had_intercepts,qb_sacks
6,1993,4,-1.6,-13,24.0,1.0,5.0
1,1993,1,-3.7,-17,8.0,2.0,6.0
2,1993,1,-0.5,-4,21.0,1.0,0.0
3,1993,1,2.7,24,42.0,1.0,1.0
4,1993,1,-1.5,-6,25.0,1.0,4.0
5,1993,1,-0.2,-13,20.0,2.0,6.0
6,1993,1,0.2,13,30.0,0.0,2.0
7,1993,1,2.5,-19,21.0,0.0,2.0
8,1993,1,0.0,6,32.0,0.0,2.0
9,1993,1,3.7,17,35.0,0.0,2.0
10,1993,1,3.3,30,36.0,1.0,3.0
11,1993,1,-0.7,-12,18.0,1.0,4.0
12,1993,1,6.6,24,31.0,0.0,1.0
13,1993,1,-3.3,-30,19.0,2.0,0.0
14,1993,1,0.5,4,28.0,1.0,0.0
15,1993,1,-2.7,-17,18.0,2.0,3.0
16,1993,1,-2.7,-24,37.0,1.0,3.0
17,1993,1,0.7,12,30.0,0.0,2.0
18,1993,1,1.5,6,28.0,0.0,4.0
19,1993,1,0.0,-6,19.0,1.0,3.0
20,1993,1,2.7,17,35.0,1.0,1.0
21,1993,1,2.0,6,38.0,1.0,0.0
22,1993,1,-3.1,-11,24.0,2.0,5.0
23,1993,1,-2.0,-6,19.0,1.0,1.0
24,1993,1,-1.1,6,38.0,2.0,2.0
25,1993,1,3.1,11,32.0,3.0,1.0
26,1993,1,1.1,-6,21.0,1.0,4.0
27,1993,1,-6.6,-24,20.0,1.0,1.0
28,1993,1,-2.5,19,35.0,0.0,0.0
1,1993,2,-1.1,-3,21.0,1.0,3.0
2,1993,2,2.1,3,29.0,2.0,1.0
3,1993,2,-2.1,3,38.0,1.0,4.0
4,1993,2,-2.5,-3,22.0,1.0,4.0
5,1993,2,-2.1,-3,26.0,1.0,2.0
6,1993,2,-2.4,10,33.0,0.0,2.0
7,1993,2,2.1,-3,28.0,2.0,1.0
8,1993,2,2.7,17,22.0,1.0,1.0
9,1993,2,1.0,3,44.0,3.0,3.0
10,1993,2,-1.3,-3,20.0,2.0,1.0
11,1993,2,0.4,30,28.0,1.0,2.0
12,1993,2,-0.4,-30,18.0,2.0,4.0
13,1993,2,2.7,27,32.0,2.0,2.0
14,1993,2,-1.7,-10,14.0,0.0,4.0
15,1993,2,2.5,3,37.0,0.0,4.0
16,1993,2,-1.0,-3,23.0,1.0,2.0
17,1993,2,1.1,3,32.0,1.0,1.0
18,1993,2,2.4,16,41.0,1.0,1.0
19,1993,2,1.7,10,38.0,1.0,0.0
20,1993,2,0.6,4,28.0,1.0,3.0
21,1993,2,1.3,3,38.0,1.0,4.0
22,1993,2,-2.7,-27,19.0,1.0,5.0
23,1993,2,0.8,7,39.0,2.0,1.0
24,1993,2,-2.7,-17,24.0,1.0,4.0
25,1993,2,2.4,-10,25.0,3.0,2.0
26,1993,2,-0.6,-4,29.0,2.0,5.0
27,1993,2,-2.4,-16,19.0,1.0,3.0
28,1993,2,-0.8,-7,17.0,1.0,3.0
1,1993,3,-4.6,-7,28.0,0.0,3.0
2,1993,3,2.1,3,29.0,2.0,1.0
3,1993,3,-2.1,3,38.0,1.0,4.0
4,1993,3,-2.5,-3,22.0,1.0,4.0
5,1993,3,-2.5,-27,19.0,1.0,2.0
6,1993,3,1.9,3,27.0,4.0,5.0
7,1993,3,3.3,7,34.0,0.0,0.0
8,1993,3,0.2,-8,14.0,1.0,0.0
9,1993,3,-0.6,-11,21.0,0.0,5.0
10,1993,3,-1.3,-3,20.0,2.0,1.0
11,1993,3,0.8,-1,17.0,4.0,3.0
12,1993,3,-0.2,8,31.0,0.0,3.0
13,1993,3,-1.1,-10,13.0,2.0,0.0
14,1993,3,-1.7,-10,14.0,0.0,4.0
15,1993,3,2.5,3,37.0,0.0,4.0
16,1993,3,0.1,-3,17.0,2.0,2.0
17,1993,3,0.6,11,34.0,0.0,3.0
18,1993,3,1.4,10,47.0,0.0,5.0
19,1993,3,1.7,10,38.0,1.0,0.0
20,1993,3,-2.0,-3,25.0,0.0,6.0
21,1993,3,2.9,3,23.0,2.0,3.0
22,1993,3,2.1,27,36.0,0.0,1.0
23,1993,3,-3.3,-7,19.0,1.0,2.0
24,1993,3,-0.8,1,29.0,1.0,1.0
25,1993,3,5.4,7,34.0,1.0,-1.0
26,1993,3,-0.1,3,43.0,2.0,5.0
27,1993,3,-2.4,-16,19.0,1.0,3.0
28,1993,3,-2.5,-3,31.0,2.0,2.0
1,1993,4,-6.0,-28,17.0,4.0,3.0
2,1993,4,1.6,13,32.0,0.0,0.0
3,1993,4,-4.1,-9,23.0,2.0,3.0
4,1993,4,1.1,30,38.0,0.0,3.0
5,1993,4,1.3,-9,17.0,1.0,5.0
7,1993,4,3.3,7,34.0,0.0,0.0
8,1993,4,0.2,-8,14.0,1.0,0.0
9,1993,4,-1.1,6,26.0,0.0,5.0
10,1993,4,-0.8,-2,23.0,2.0,0.0
11,1993,4,-5.0,-15,20.0,2.0,4.0
12,1993,4,-0.2,8,31.0,0.0,3.0
13,1993,4,5.0,15,32.0,0.0,0.0
14,1993,4,4.1,9,43.0,1.0,1.0
15,1993,4,0.8,2,29.0,0.0,2.0
16,1993,4,-6.0,-38,13.0,2.0,3.0
17,1993,4,0.2,3,24.0,0.0,1.0
18,1993,4,1.4,10,47.0,0.0,5.0
19,1993,4,6.0,38,41.0,0.0,0.0
20,1993,4,-2.0,-3,25.0,0.0,6.0
21,1993,4,2.9,3,23.0,2.0,3.0
22,1993,4,6.0,28,34.0,0.0,0.0
23,1993,4,1.5,-6,25.0,0.0,4.0
24,1993,4,-0.8,1,29.0,1.0,1.0
25,1993,4,-0.4,-3,31.0,1.0,6.0
26,1993,4,-1.3,9,35.0,0.0,2.0
27,1993,4,-1.1,-30,18.0,4.0,2.0
28,1993,4,-2.5,-3,31.0,2.0,2.0
1,1993,5,0.1,-6,23.0,2.0,3.0
2,1993,5,-3.4,-22,22.0,2.0,1.0
3,1993,5,-1.5,3,34.0,1.0,6.0
4,1993,5,-0.1,6,31.0,0.0,1.0
5,1993,5,1.3,-9,17.0,1.0,5.0
6,1993,5,-1.6,-13,24.0,1.0,5.0
7,1993,5,7.3,22,30.0,0.0,2.0
8,1993,5,3.4,22,37.0,0.0,1.0
9,1993,5,-2.9,-17,26.0,2.0,3.0
10,1993,5,-7.3,-22,18.0,0.0,1.0
11,1993,5,-5.0,-15,20.0,2.0,4.0
12,1993,5,1.5,15,43.0,0.0,3.0
13,1993,5,-4.7,-31,30.0,2.0,3.0
14,1993,5,4.0,7,27.0,1.0,1.0
15,1993,5,-3.1,-19,15.0,1.0,3.0
16,1993,5,-6.0,-38,13.0,2.0,3.0
17,1993,5,4.6,31,32.0,0.0,0.0
18,1993,5,1.4,-3,43.0,3.0,2.0
19,1993,5,2.8,-5,30.0,2.0,0.0
20,1993,5,-1.5,-15,20.0,0.0,6.0
21,1993,5,-2.8,5,31.0,1.0,1.0
22,1993,5,6.0,28,34.0,0.0,0.0
23,1993,5,1.5,-6,25.0,0.0,4.0
24,1993,5,-1.5,-17,20.0,2.0,3.0
25,1993,5,3.3,19,27.0,1.0,3.0
26,1993,5,1.5,17,31.0,0.0,2.0
27,1993,5,2.9,17,31.0,0.0,3.0
28,1993,5,-3.9,-7,23.0,1.0,2.0
1,1993,6,0.1,-6,23.0,2.0,3.0
2,1993,6,-1.3,-24,25.0,4.0,1.0
3,1993,6,3.4,28,46.0,0.0,2.0
